MCI	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	detalhe
207911375	119514304	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	119514304 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
208042244	849200354	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	849200354 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
208771631	74406344	82909516	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	74406344 - 82909516 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
209614877	697805119	697805810	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	697805119 - 697805810 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
210366996	22472	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	22472 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
210612690	150382680	992965199	993032168	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	150382680 - 992965199 - 993032168 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
210689411	704207313	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	704207313 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
211082592	143130905	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	143130905 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
212039932	992192107	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	992192107 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
302955256	53779	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	53779 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
302956671	89726795	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	89726795 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
304045225	133947943	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	133947943 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
305429686	174411540	420905120	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	174411540 - 420905120 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
305730284	485400431	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	485400431 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
305981381	580400582	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	580400582 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
306032107	141897444	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	141897444 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
306286414	26840	134265279	151546108	159831428	976524257	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	26840 - 134265279 - 151546108 - 159831428 - 976524257 - nan - nan - nan - nan - nan - nan - nan - nan - nan
306462483	685001148	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	685001148 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
330505818	111634033	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	111634033 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
